SOE_18,COMNAME,Fed_Managed
Other,LESSER ELECTRIC RAY,NA
Other,LESSER SHINING BOBTAIL,NA
Other,LIGHTFISH UNCL,NA
Other,LINED SEAHORSE,NA
Piscivore,LITTLE SKATE,NEFMC
Piscivore,LITTLE SKATE,NEFMC
Other,LITTLE TUNNY,NA
Other,LITTLEHEAD PORGY,NA
Other,LIZA,NA
Other,LIZARDFISH UNCL,NA
Other,LOGGERHEAD SEATURTLE,NA
Other,LONGBILL SPEARFISH,NA
Other,LONGFIN HAKE,NA
Other,LONGFIN MAKO,NA
Other,LONGFIN SCORPIONFISH,NA
Planktivore,LONGFIN SQUID,MAFMC
Other,LONGFIN SQUID EGG MOPS,NA
Planktivore,LONGHORN SCULPIN,NA
Planktivore,LONGHORN SCULPIN,NA
Other,LONGNOSE BATFISH,NA
Other,LONGNOSE GREENEYE,NA
Other,LONGNOSE GRENADIER,NA
Other,LONGNOSE LANCETFISH,NA
Other,LONGSNOUT BUTTERFLYFISH,NA
Other,LONGSNOUT SEAHORSE,NA
Other,LONGSPINE SCORPIONFISH,NA
Other,LONGSPINE SNIPEFISH,NA
Other,LONGSPINE SQUIRRELFISH,NA
Other,LONGTAIL SKATE,NA
Other,LONGTOOTH ANGLEMOUTH,NA
Other,LOOKDOWN,NA
Other,LOPHIIFORM UNCL,NA
Planktivore,LUMPFISH,NA
Other,LUMPFISH SNAILFISH UNCL,NA
Other,MACKEREL AND TUNA UNCL,NA
Other,MACKEREL SCAD,NA
Other,"MACKEREL,CHUB",NA
Other,MADEIRA LANTERNFISH,NA
Other,MANTA,NA
Other,MANTIS SHRIMP UNCL,NA
Other,MANTIS SHRIMPS,NA
Other,MARBLED GROUPER,NA
Other,MARBLED PUFFER,NA
Other,MARGINED FLYINGFISH,NA
Other,MARGINED SNAKE EEL,NA
Other,"MARLIN,UNC",NA
Other,MARLIN-SPIKE,NA
Other,MARLINSUCKER,NA
Planktivore,MENHADEN,NA
Other,METALLIC CODLING,NA
Other,MEXICAN SEAROBIN,NA
Other,MINNOWS,NA
Other,MISTY GROUPER,NA
Other,MOJARRA UNCL,NA
Other,"MOLLUSKS,UNC",NA
Other,MOON SNAIL SHARK EYE AND BABY-EAR,NA
Other,MOONEYE CUSK-EEL,NA
Other,MORA UNCL,NA
Other,MORAY UNCL,NA
Other,MOTTLED CUSK-EEL,NA
Other,MOTTLED JAWFISH,NA
Other,MOUSTACHE JAWFISH,NA
Other,MOUSTACHE SCULPIN,NA
Other,"MULLET,RED (GOATFISH)",NA
Other,MULLETS,NA
Other,MUMMICHOG,NA
Other,MUTTON HAMLET,NA
Other,MUTTON SNAPPER,NA
Other,NAKED GOBY,NA
Other,NAKED SOLE,NA
Other,NASSAU GROUPER,NA
Other,NIGHT SHARK,NA
Other,NINESPINE STICKLEBACK,NA
Other,NORI/LAVER,NA
Other,NORTHERN CYCLOCARDIA,NA
Other,NORTHERN HORSEMUSSEL,NA
Other,NORTHERN KINGFISH,NA
Other,NORTHERN MOONSNAIL,NA
Other,NORTHERN PIPEFISH,NA
Other,NORTHERN PROPELLER CLAM,NA
Other,NORTHERN PUFFER,NA
Other,NORTHERN QUAHOG,NA
Other,NORTHERN QUAHOG,NA
Other,NORTHERN QUAHOG CLAPPER,NA
Planktivore,NORTHERN SAND LANCE,NA
Planktivore,NORTHERN SEAROBIN,NA
Other,NORTHERN SENNET,NA
Planktivore,NORTHERN SHORTFIN SQUID,MAFMC
Other,NORTHERN SHORTFIN SQUID EGG MOPS,NA
Other,NORTHERN SHRIMP,NA
Other,NORTHERN STARGAZER,NA
Other,NORTHERN STONE CRAB,NA
Other,NORTHERN TONGUEFISH,NA
Other,NORWEGIAN SHRIMP,NA
Other,NURSE SHARK,NA
Other,OARWEED KELP,NA
Benthivore,OCEAN POUT,NEFMC
Benthos,OCEAN QUAHOG,MAFMC
Other,OCEAN QUAHOG CLAPPER,NA
Other,OCEAN SUNFISH,NA
Other,OCEAN SURGEON,NA
Other,OCEAN TRIGGERFISH,NA
Other,OCEANIC TWO-WING FLYINGFISH,NA
Other,OCEANIC WHITETIP SHARK,NA
Other,OCELLATE SKATE,NA
Other,OCELLATE SKATES,NA
Other,OCELLATED FLOUNDER,NA
Other,OCELLATED FROGFISH,NA
Other,OCTOPUS,NA
Other,OCTOPUS UNCL,NA
Piscivore,OFFSHORE HAKE,NEFMC
Other,OFFSHORE LIZARDFISH,NA
Other,OFFSHORE TONGUEFISH,NA
Other,OILFISH,NA
Other,OPAH,NA
Other,ORANGE FILEFISH,NA
Other,ORANGEBACK BASS,NA
Other,OWEN'S BOBTAIL,NA
Other,OYSTER TOADFISH,NA
Other,"OYSTER,EASTERN",NA
Other,"OYSTER,EUROPEAN FLAT",NA
Other,PAINTED WRASSE,NA
Other,PALESPOTTED EEL,NA
Other,PALOMETA,NA
Other,PANCAKE BATFISH,NA
Other,PARROT SHRIMP,NA
Other,PARROTFISH UNCL,NA
Other,PATCHWORK LAMPFISH,NA
Other,PEACOCK FLOUNDER,NA
Other,PEARLFISH,NA
Other,PEARLY RAZORFISH,NA
Other,PELAGIC STINGRAY,NA
Other,PELICAN FLOUNDER,NA
Other,"PERCH,TRUE",NA
Other,"PERIWINKLES,ATLANTIC (COCKLES)",NA
Other,PERMIT,NA
Other,PIGFISH,NA
Other,PILOTFISH,NA
Other,PINFISH,NA
Other,PINK GLASS SHRIMP,NA
Other,PINK SHRIMP,NA
Other,PIPEFISH SEAHORSE UNCL,NA
Other,PLANEHEAD FILEFISH,NA
Other,PLUMED SCORPIONFISH,NA
Other,POLAR LEBBEID,NA
Other,POLKA-DOT BATFISH,NA
Other,POLKA-DOT CUSK-EEL,NA
Piscivore,POLLOCK,NEFMC
Piscivore,POLLOCK,NEFMC
Piscivore,POLLOCK,NEFMC
Piscivore,POLLOCK,NEFMC
Piscivore,POLLOCK,NEFMC
Piscivore,POLLOCK,NEFMC
Piscivore,POLLOCK,NEFMC
Piscivore,POLLOCK,NEFMC
Other,POMFRETS,NA
Other,POMPANO DOLPHIN,NA
Other,PORBEAGLE SHARK,NA
Other,PORCUPINEFISH,NA
Other,PORGY AND PINFISH UNCL,NA
Other,"PORGY,RED",NA
Other,PORKFISH,NA
Other,PORTUGUESE SHARK,NA
Other,PUDDINGWIFE,NA
Other,PUFFER UNCL,NA
Other,"PUFFERS,(SEA CHICKEN)",NA
Other,PUNCTATE BLADE SHRIMP,NA
Other,PYGMY ARGENTINE,NA
Other,PYGMY MORAY,NA
Other,PYGMY SEA BASS,NA
Other,QUEEN ANGELFISH,NA
Other,QUEEN TRIGGERFISH,NA
Other,RADIATED SHANNY,NA
Other,RAINBOW RUNNER,NA
Other,RAINBOW SMELT,NA
Other,RAINBOW TROUT,NA
Other,RAY AND SKATE UNCL,NA
Other,"RAY,BULLNOSE",NA
Other,"RAY,EAGLE",NA
Other,"RAY,SICKLEFIN (CHILEAN) DEVIL",NA
Other,"RAY,SPINETAIL DEVIL",NA
Other,RAZOR AND JACKKNIFE CLAM UNCL,NA
Other,RED BARBIER,NA
Other,RED CORNETFISH,NA
Other,RED DORY,NA
Other,RED DRUM,NA
Other,RED GOATFISH,NA
Other,RED GROUPER,NA
Piscivore,RED HAKE,NEFMC
Piscivore,RED HAKE,NEFMC
Piscivore,RED HAKE,NEFMC
